ort,plz,landkreis,bundesland
Aach,78267,Landkreis Konstanz,Baden-Württemberg
Aach,54298,Landkreis Trier-Saarburg,Rheinland-Pfalz
Aachen,52062,Städteregion Aachen,Nordrhein-Westfalen
Aachen,52064,Städteregion Aachen,Nordrhein-Westfalen
Aachen,52066,Städteregion Aachen,Nordrhein-Westfalen
Aachen,52068,Städteregion Aachen,Nordrhein-Westfalen
Aachen,52070,Städteregion Aachen,Nordrhein-Westfalen
Aachen,52072,Städteregion Aachen,Nordrhein-Westfalen
Aachen,52074,Städteregion Aachen,Nordrhein-Westfalen
Aachen,52076,Städteregion Aachen,Nordrhein-Westfalen
Aachen,52078,Städteregion Aachen,Nordrhein-Westfalen
Aachen,52080,Städteregion Aachen,Nordrhein-Westfalen
Aalen,73430,Ostalbkreis,Baden-Württemberg
Aalen,73431,Ostalbkreis,Baden-Württemberg
Aalen,73432,Ostalbkreis,Baden-Württemberg
Aalen,73433,Ostalbkreis,Baden-Württemberg
Aalen,73434,Ostalbkreis,Baden-Württemberg
Aarbergen,65326,Rheingau-Taunus-Kreis,Hessen
Aasbüttel,25560,Kreis Steinburg,Schleswig-Holstein
Abenberg,91183,Landkreis Roth,Bayern
Abensberg,93326,Landkreis Kelheim,Bayern
Abentheuer,55767,Landkreis Birkenfeld,Rheinland-Pfalz
Absberg,91720,Landkreis Weißenburg-Gunzenhausen,Bayern
Abstatt,74232,Landkreis Heilbronn,Baden-Württemberg
Abtsbessingen,99713,Kyffhäuserkreis,Thüringen
Abtsgmünd,73453,Ostalbkreis,Baden-Württemberg
Abtsteinach,69518,Kreis Bergstraße,Hessen
Abtswind,97355,Landkreis Kitzingen,Bayern
Abtweiler,55568,Landkreis Bad Kreuznach,Rheinland-Pfalz
Achberg,88147,Landkreis Ravensburg,Baden-Württemberg
Achern,77855,Ortenaukreis,Baden-Württemberg
Achim,28832,Landkreis Verden,Niedersachsen
Achslach,94250,Landkreis Regen,Bayern
Achstetten,88480,Landkreis Biberach,Baden-Württemberg
Acht,56729,Landkreis Mayen-Koblenz,Rheinland-Pfalz
Achtelsbach,55767,Landkreis Birkenfeld,Rheinland-Pfalz
Achterwehr,24239,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Achtrup,25917,Kreis Nordfriesland,Schleswig-Holstein
Adelberg,73099,Landkreis Göppingen,Baden-Württemberg
Adelebsen,37139,Landkreis Göttingen,Niedersachsen
Adelheidsdorf,29352,Landkreis Celle,Niedersachsen
Adelmannsfelden,73486,Ostalbkreis,Baden-Württemberg
Adelschlag,85111,Landkreis Eichstätt,Bayern
Adelsdorf,91325,Landkreis Erlangen-Höchstadt,Bayern
Adelsheim,74740,Neckar-Odenwald-Kreis,Baden-Württemberg
Adelshofen,91587,Landkreis Ansbach,Bayern
Adelshofen,82276,Landkreis Fürstenfeldbruck,Bayern
Adelsried,86477,Landkreis Augsburg,Bayern
Adelzhausen,86559,Landkreis Aichach-Friedberg,Bayern
Adenau,53518,Landkreis Ahrweiler,Rheinland-Pfalz
Adenbach,67742,Landkreis Kusel,Rheinland-Pfalz
Adenbüttel,38528,Landkreis Gifhorn,Niedersachsen
Adendorf,21365,Landkreis Lüneburg,Niedersachsen
Adlkofen,84166,Landkreis Landshut,Bayern
Admannshagen-Bargeshagen,18211,Landkreis Rostock,Mecklenburg-Vorpommern
Adorf/Vogtland,08626,Vogtlandkreis,Sachsen
Aebtissinwisch,25572,Kreis Steinburg,Schleswig-Holstein
Aerzen,31855,Landkreis Hameln-Pyrmont,Niedersachsen
Affalterbach,71563,Landkreis Ludwigsburg,Baden-Württemberg
Affing,86444,Landkreis Aichach-Friedberg,Bayern
Affinghausen,27257,Landkreis Diepholz,Niedersachsen
Affler,54689,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Agathenburg,21684,Landkreis Stade,Niedersachsen
Agethorst,25560,Kreis Steinburg,Schleswig-Holstein
Aglasterhausen,74858,Neckar-Odenwald-Kreis,Baden-Württemberg
Aham,84168,Landkreis Landshut,Bayern
Ahaus,48683,Kreis Borken,Nordrhein-Westfalen
Ahausen,27367,Landkreis Rotenburg (Wümme),Niedersachsen
Ahlbeck,17375,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Ahlden,29693,Landkreis Heidekreis,Niedersachsen
Ahlefeld-Bistensee,24358,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Ahlen,59227,Kreis Warendorf,Nordrhein-Westfalen
Ahlen,59229,Kreis Warendorf,Nordrhein-Westfalen
Ahlerstedt,21702,Landkreis Stade,Niedersachsen
Ahlsdorf,06313,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
Ahlstädt,98553,Landkreis Hildburghausen,Thüringen
Ahnatal,34292,Landkreis Kassel,Hessen
Ahneby,24996,Kreis Schleswig-Flensburg,Schleswig-Holstein
Ahnsbeck,29353,Landkreis Celle,Niedersachsen
Ahnsen,31708,Landkreis Schaumburg,Niedersachsen
Aholfing,94345,Landkreis Straubing-Bogen,Bayern
Aholming,94527,Landkreis Deggendorf,Bayern
Ahorn,74744,Main-Tauber-Kreis,Baden-Württemberg
Ahorn,96482,Landkreis Coburg,Bayern
Ahorntal,95491,Landkreis Bayreuth,Bayern
Ahrbrück,53506,Landkreis Ahrweiler,Rheinland-Pfalz
Ahrensbök,23623,Kreis Ostholstein,Schleswig-Holstein
Ahrensburg,22926,Kreis Stormarn,Schleswig-Holstein
Ahrensfelde,16356,Landkreis Barnim,Brandenburg
Ahrenshagen-Daskow,18320,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Ahrenshöft,25853,Kreis Nordfriesland,Schleswig-Holstein
Ahrenshoop,18347,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Ahrenviöl,25885,Kreis Nordfriesland,Schleswig-Holstein
Ahrenviölfeld,24896,Kreis Nordfriesland,Schleswig-Holstein
Ahrenviölfeld,25885,Kreis Nordfriesland,Schleswig-Holstein
Aichach,86551,Landkreis Aichach-Friedberg,Bayern
Aicha vorm Wald,94529,Landkreis Passau,Bayern
Aichelberg,73101,Landkreis Göppingen,Baden-Württemberg
Aichen,86479,Landkreis Günzburg,Bayern
Aichhalden,78733,Landkreis Rottweil,Baden-Württemberg
Aichstetten,88317,Landkreis Ravensburg,Baden-Württemberg
Aichtal,72631,Landkreis Esslingen,Baden-Württemberg
Aichwald,73773,Landkreis Esslingen,Baden-Württemberg
Aidenbach,94501,Landkreis Passau,Bayern
Aidhausen,97491,Landkreis Haßberge,Bayern
Aidlingen,71134,Landkreis Böblingen,Baden-Württemberg
Aiglsbach,84089,Landkreis Kelheim,Bayern
Ailertchen,56459,Westerwaldkreis,Rheinland-Pfalz
Aindling,86447,Landkreis Aichach-Friedberg,Bayern
Ainring,83404,Landkreis Berchtesgadener Land,Bayern
Aislingen,89344,Landkreis Dillingen an der Donau,Bayern
Aiterhofen,94330,Landkreis Straubing-Bogen,Bayern
Aitern,79677,Landkreis Lörrach,Baden-Württemberg
Aitrach,88319,Landkreis Ravensburg,Baden-Württemberg
Aitrang,87648,Landkreis Ostallgäu,Bayern
Aken (Elbe),06385,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
Aken (Elbe),06386,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
Aland,39615,Landkreis Stendal,Sachsen-Anhalt
Albaching,83544,Landkreis Rosenheim,Bayern
Albbruck,79774,Landkreis Waldshut,Baden-Württemberg
Albersdorf,25767,Kreis Dithmarschen,Schleswig-Holstein
Albersdorf,07646,Saale-Holzland-Kreis,Thüringen
Albershausen,73095,Landkreis Göppingen,Baden-Württemberg
Albersweiler,76857,Landkreis Südliche Weinstraße,Rheinland-Pfalz
Albertshofen,97320,Landkreis Kitzingen,Bayern
Albessen,66871,Landkreis Kusel,Rheinland-Pfalz
Albig,55234,Landkreis Alzey-Worms,Rheinland-Pfalz
Albisheim (Pfrimm),67308,Donnersbergkreis,Rheinland-Pfalz
Albsfelde,23909,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Albstadt,72458,Zollernalbkreis,Baden-Württemberg
Albstadt,72459,Zollernalbkreis,Baden-Württemberg
Albstadt,72461,Zollernalbkreis,Baden-Württemberg
Aldenhoven,52457,Kreis Düren,Nordrhein-Westfalen
Aldersbach,94501,Landkreis Passau,Bayern
Aldingen,78554,Landkreis Tuttlingen,Baden-Württemberg
Alerheim,86733,Landkreis Donau-Ries,Bayern
Alesheim,91793,Landkreis Weißenburg-Gunzenhausen,Bayern
Aletshausen,86480,Landkreis Günzburg,Bayern
Alf,56859,Landkreis Cochem-Zell,Rheinland-Pfalz
Alfdorf,73553,Rems-Murr-Kreis,Baden-Württemberg
Alfdorf,73655,Rems-Murr-Kreis,Baden-Württemberg
Alfeld,91236,Landkreis Nürnberger Land,Bayern
Alfeld (Leine),31061,Landkreis Hildesheim,Niedersachsen
Alfhausen,49594,Landkreis Osnabrück,Niedersachsen
Alflen,56828,Landkreis Cochem-Zell,Rheinland-Pfalz
Alfstedt,27432,Landkreis Rotenburg (Wümme),Niedersachsen
Alfter,53347,Rhein-Sieg-Kreis,Nordrhein-Westfalen
Algermissen,31191,Landkreis Hildesheim,Niedersachsen
Alheim,36211,Landkreis Hersfeld-Rotenburg,Hessen
Alken,56332,Landkreis Mayen-Koblenz,Rheinland-Pfalz
Alkersleben,99310,Ilm-Kreis,Thüringen
Alkersum,25938,Kreis Nordfriesland,Schleswig-Holstein
Allenbach,55758,Landkreis Birkenfeld,Rheinland-Pfalz
Allendorf,35469,Landkreis Gießen,Hessen
Allendorf,56370,Rhein-Lahn-Kreis,Rheinland-Pfalz
Allendorf,07426,Landkreis Saalfeld-Rudolstadt,Thüringen
Allendorf (Eder),35108,Landkreis Waldeck-Frankenberg,Hessen
Allenfeld,55595,Landkreis Bad Kreuznach,Rheinland-Pfalz
Allensbach,78476,Landkreis Konstanz,Baden-Württemberg
Allersberg,90584,Landkreis Roth,Bayern
Allershausen,85391,Landkreis Freising,Bayern
Alleshausen,88422,Landkreis Biberach,Baden-Württemberg
Alling,82239,Landkreis Fürstenfeldbruck,Bayern
Allmannshofen,86695,Landkreis Augsburg,Bayern
Allmannsweiler,88348,Landkreis Biberach,Baden-Württemberg
Allmendingen,89604,Alb-Donau-Kreis,Baden-Württemberg
Allmersbach im Tal,71573,Rems-Murr-Kreis,Baden-Württemberg
Allstedt,06542,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
Almdorf,25821,Kreis Nordfriesland,Schleswig-Holstein
Almersbach,57610,Landkreis Altenkirchen,Rheinland-Pfalz
Alpen,46519,Kreis Wesel,Nordrhein-Westfalen
Alpenrod,57642,Westerwaldkreis,Rheinland-Pfalz
Alpenrod,57647,Westerwaldkreis,Rheinland-Pfalz
Alperstedt,99195,Landkreis Sömmerda,Thüringen
Alpirsbach,72275,Landkreis Freudenstadt,Baden-Württemberg
Alsbach,56237,Westerwaldkreis,Rheinland-Pfalz
Alsbach-Hähnlein,64665,Landkreis Darmstadt-Dieburg,Hessen
Alsdorf,52477,Städteregion Aachen,Nordrhein-Westfalen
Alsdorf,57518,Landkreis Altenkirchen,Rheinland-Pfalz
Alsdorf,54668,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Alsenz,67821,Donnersbergkreis,Rheinland-Pfalz
Alsfeld,36304,Vogelsbergkreis,Hessen
Alsheim,67577,Landkreis Alzey-Worms,Rheinland-Pfalz
Alsleben,06425,Salzlandkreis,Sachsen-Anhalt
Altbach,73776,Landkreis Esslingen,Baden-Württemberg
Alt Bennebek,24848,Kreis Schleswig-Flensburg,Schleswig-Holstein
Alt Bukow,18233,Landkreis Rostock,Mecklenburg-Vorpommern
Altdöbern,03229,Landkreis Oberspreewald-Lausitz,Brandenburg
Altdorf,84032,Landkreis Landshut,Bayern
Altdorf,71155,Landkreis Böblingen,Baden-Württemberg
Altdorf,72655,Landkreis Esslingen,Baden-Württemberg
Altdorf,67482,Landkreis Südliche Weinstraße,Rheinland-Pfalz
Altdorf bei Nürnberg,90518,Landkreis Nürnberger Land,Bayern
Alt Duvenstedt,24782,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Alt Duvenstedt,24791,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Alt Duvenstedt,24811,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Altefähr,18573,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Alteglofsheim,93087,Landkreis Regensburg,Bayern
Altena,58762,Märkischer Kreis,Nordrhein-Westfalen
Altenahr,53505,Landkreis Ahrweiler,Rheinland-Pfalz
Altenbamberg,55585,Landkreis Bad Kreuznach,Rheinland-Pfalz
Altenbeken,33184,Kreis Paderborn,Nordrhein-Westfalen
Altenberg,01773,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
Altenberg,01778,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
Altenberga,07768,Saale-Holzland-Kreis,Thüringen
Altenberge,48341,Kreis Steinfurt,Nordrhein-Westfalen
Altenbeuthen,07338,Landkreis Saalfeld-Rudolstadt,Thüringen
Altenbuch,97901,Landkreis Miltenberg,Bayern
Altenburg,04600,Landkreis Altenburger Land,Thüringen
Altendiez,65624,Rhein-Lahn-Kreis,Rheinland-Pfalz
Altendorf,92540,Landkreis Schwandorf,Bayern
Altendorf,96146,Landkreis Bamberg,Bayern
Altenglan,66885,Landkreis Kusel,Rheinland-Pfalz
Altenhagen,17091,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Altenhausen,39343,Landkreis Börde,Sachsen-Anhalt
Altenhof,24340,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Altenhof,17209,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Altenholz,24161,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Altenkirchen,66903,Landkreis Kusel,Rheinland-Pfalz
Altenkirchen,18556,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Altenkirchen (Westerwald),57610,Landkreis Altenkirchen,Rheinland-Pfalz
Altenkrempe,23730,Kreis Ostholstein,Schleswig-Holstein
Altenkunstadt,96264,Landkreis Lichtenfels,Bayern
Altenmarkt an der Alz,83352,Landkreis Traunstein,Bayern
Altenmedingen,29575,Landkreis Uelzen,Niedersachsen
Altenmoor,25335,Kreis Steinburg,Schleswig-Holstein
Altenmünster,86450,Landkreis Augsburg,Bayern
Altenpleen,18445,Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
Altenriet,72657,Landkreis Esslingen,Baden-Württemberg
Altenstadt,63674,Wetteraukreis,Hessen
Altenstadt,86972,Landkreis Weilheim-Schongau,Bayern
Altenstadt,89281,Landkreis Neu-Ulm,Bayern
Altenstadt an der Waldnaab,92665,Landkreis Neustadt an der Waldnaab,Bayern
Altensteig,72213,Landkreis Calw,Baden-Württemberg
Altenthann,93177,Landkreis Regensburg,Bayern
Altentreptow,17087,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Alterkülz,56288,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
Altertheim,97237,Landkreis Würzburg,Bayern
Altfraunhofen,84169,Landkreis Landshut,Bayern
Althegnenberg,82278,Landkreis Fürstenfeldbruck,Bayern
Altheim,88499,Landkreis Biberach,Baden-Württemberg
Altheim,89605,Alb-Donau-Kreis,Baden-Württemberg
Altheim (Alb),89174,Alb-Donau-Kreis,Baden-Württemberg
Althengstett,75382,Landkreis Calw,Baden-Württemberg
Althornbach,66484,Landkreis Südwestpfalz,Rheinland-Pfalz
Althütte,71566,Rems-Murr-Kreis,Baden-Württemberg
Althüttendorf,16247,Landkreis Barnim,Brandenburg
Altkalen,17179,Landkreis Rostock,Mecklenburg-Vorpommern
Alt Krenzlin,19288,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Altlandsberg,15345,Landkreis Märkisch-Oderland,Brandenburg
Altlay,56858,Landkreis Cochem-Zell,Rheinland-Pfalz
Altleiningen,67316,Landkreis Bad Dürkheim,Rheinland-Pfalz
Altleiningen,67317,Landkreis Bad Dürkheim,Rheinland-Pfalz
Altlußheim,68804,Rhein-Neckar-Kreis,Baden-Württemberg
Altmannstein,93336,Landkreis Eichstätt,Bayern
Altmärkische Höhe,39606,Landkreis Stendal,Sachsen-Anhalt
Altmärkische Höhe,39615,Landkreis Stendal,Sachsen-Anhalt
Altmärkische Wische,39615,Landkreis Stendal,Sachsen-Anhalt
Alt Meteln,19069,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
Altmittweida,09648,Landkreis Mittelsachsen,Sachsen
Alt Mölln,23881,Kreis Herzogtum Lauenburg,Schleswig-Holstein
Altomünster,85250,Landkreis Dachau,Bayern
Altötting,84503,Landkreis Altötting,Bayern
Altrich,54518,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
Altrip,67122,Rhein-Pfalz-Kreis,Rheinland-Pfalz
Altscheid,54636,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Alt Schwerin,17214,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Altshausen,88361,Landkreis Ravensburg,Baden-Württemberg
Altstrimmig,56858,Landkreis Cochem-Zell,Rheinland-Pfalz
Alt Sührkow,17166,Landkreis Rostock,Mecklenburg-Vorpommern
Alt Tellin,17129,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Alt Tucheband,15328,Landkreis Märkisch-Oderland,Brandenburg
Altusried,87452,Landkreis Oberallgäu,Bayern
Altwarp,17375,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Altweidelbach,55469,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
Altwigshagen,17379,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Alt Zachun,19230,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
Alt Zauche-Wußwerk,15913,Landkreis Dahme-Spreewald,Brandenburg
Alveslohe,25486,Kreis Segeberg,Schleswig-Holstein
Alzenau,63755,Landkreis Aschaffenburg,Bayern
Alzey,55232,Landkreis Alzey-Worms,Rheinland-Pfalz
Amberg,92224,,Bayern
Amberg,86854,Landkreis Unterallgäu,Bayern
Amelinghausen,21385,Landkreis Lüneburg,Niedersachsen
Amerang,83123,Landkreis Rosenheim,Bayern
Amerdingen,86735,Landkreis Donau-Ries,Bayern
Am Ettersberg,99439,Landkreis Weimarer Land,Thüringen
Am Großen Bruch,39393,Landkreis Börde,Sachsen-Anhalt
Ammeldingen an der Our,54675,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Ammeldingen bei Neuerburg,54673,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Am Mellensee,15838,Landkreis Teltow-Fläming,Brandenburg
Ammerbuch,72119,Landkreis Tübingen,Baden-Württemberg
Ammerndorf,90614,Landkreis Fürth,Bayern
Ammersbek,22949,Kreis Stormarn,Schleswig-Holstein
Ammerthal,92260,Landkreis Amberg-Sulzbach,Bayern
Am Ohmberg,37345,Landkreis Eichsfeld,Thüringen
Amöneburg,35287,Landkreis Marburg-Biedenkopf,Hessen
Amorbach,63916,Landkreis Miltenberg,Bayern
Ampfing,84539,Landkreis Mühldorf am Inn,Bayern
Am Salzhaff,18233,Landkreis Rostock,Mecklenburg-Vorpommern
Amstetten,73340,Alb-Donau-Kreis,Baden-Württemberg
Amt Creuzburg,99831,Wartburgkreis,Thüringen
Amt Neuhaus,19273,Landkreis Lüneburg,Niedersachsen
Amtsberg,09439,Erzgebirgskreis,Sachsen
Amt Wachsenburg,99334,Ilm-Kreis,Thüringen
Amtzell,88279,Landkreis Ravensburg,Baden-Württemberg
Andechs,82346,Landkreis Starnberg,Bayern
Anderlingen,27446,Landkreis Rotenburg (Wümme),Niedersachsen
Andernach,56626,Landkreis Mayen-Koblenz,Rheinland-Pfalz
An der Poststraße,06647,Burgenlandkreis,Sachsen-Anhalt
An der Schmücke,06577,Kyffhäuserkreis,Thüringen
Andervenne,49832,Landkreis Emsland,Niedersachsen
Andisleben,99189,Landkreis Sömmerda,Thüringen
Angelbachtal,74918,Rhein-Neckar-Kreis,Baden-Württemberg
Angelburg,35719,Landkreis Marburg-Biedenkopf,Hessen
Anger,83454,Landkreis Berchtesgadener Land,Bayern
Angermünde,16278,Landkreis Uckermark,Brandenburg
Angern,39326,Landkreis Börde,Sachsen-Anhalt
Angern,39517,Landkreis Börde,Sachsen-Anhalt
Anhausen,56584,Landkreis Neuwied,Rheinland-Pfalz
Ankershagen,17219,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
Anklam,17389,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
Ankum,49577,Landkreis Osnabrück,Niedersachsen
Annaberg-Buchholz,09456,Erzgebirgskreis,Sachsen
Annaburg,06925,Landkreis Wittenberg,Sachsen-Anhalt
Annweiler am Trifels,76855,Landkreis Südliche Weinstraße,Rheinland-Pfalz
Anröchte,59609,Kreis Soest,Nordrhein-Westfalen
Anrode,99976,Unstrut-Hainich-Kreis,Thüringen
Ansbach,91522,,Bayern
Anschau,56729,Landkreis Mayen-Koblenz,Rheinland-Pfalz
Antdorf,82387,Landkreis Weilheim-Schongau,Bayern
Antrifttal,36326,Vogelsbergkreis,Hessen
Antweiler,53533,Landkreis Ahrweiler,Rheinland-Pfalz
Anzing,85646,Landkreis Ebersberg,Bayern
Apelern,31552,Landkreis Schaumburg,Niedersachsen
Apen,26689,Landkreis Ammerland,Niedersachsen
Apenburg-Winterfeld,38486,Altmarkkreis Salzwedel,Sachsen-Anhalt
Apensen,21641,Landkreis Stade,Niedersachsen
Apfeldorf,86974,Landkreis Landsberg am Lech,Bayern
Apfeltrach,87742,Landkreis Unterallgäu,Bayern
Apolda,99510,Landkreis Weimarer Land,Thüringen
Appel,21279,Landkreis Harburg,Niedersachsen
Appen,25482,Kreis Pinneberg,Schleswig-Holstein
Appenheim,55437,Landkreis Mainz-Bingen,Rheinland-Pfalz
Appenweier,77767,Ortenaukreis,Baden-Württemberg
Arbach,56769,Landkreis Vulkaneifel,Rheinland-Pfalz
Arberg,91722,Landkreis Ansbach,Bayern
Aremberg,53533,Landkreis Ahrweiler,Rheinland-Pfalz
Arendsee (Altmark),39619,Altmarkkreis Salzwedel,Sachsen-Anhalt
Arenrath,54518,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
Arenshausen,37318,Landkreis Eichsfeld,Thüringen
Aresing,86561,Landkreis Neuburg-Schrobenhausen,Bayern
Arft,56729,Landkreis Mayen-Koblenz,Rheinland-Pfalz
Argenbühl,88260,Landkreis Ravensburg,Baden-Württemberg
Argenschwang,55595,Landkreis Bad Kreuznach,Rheinland-Pfalz
Argenthal,55496,Rhein-Hunsrück-Kreis,Rheinland-Pfalz
Arholzen,37627,Landkreis Holzminden,Niedersachsen
Arkebek,25767,Kreis Dithmarschen,Schleswig-Holstein
Arlewatt,25860,Kreis Nordfriesland,Schleswig-Holstein
Armsheim,55288,Landkreis Alzey-Worms,Rheinland-Pfalz
Armstedt,24616,Kreis Segeberg,Schleswig-Holstein
Armstorf,21769,Landkreis Cuxhaven,Niedersachsen
Arnbruck,93471,Landkreis Regen,Bayern
Arneburg,39596,Landkreis Stendal,Sachsen-Anhalt
Arnis,24399,Kreis Schleswig-Flensburg,Schleswig-Holstein
Arnsberg,59755,Hochsauerlandkreis,Nordrhein-Westfalen
Arnsberg,59757,Hochsauerlandkreis,Nordrhein-Westfalen
Arnsberg,59759,Hochsauerlandkreis,Nordrhein-Westfalen
Arnsberg,59821,Hochsauerlandkreis,Nordrhein-Westfalen
Arnsberg,59823,Hochsauerlandkreis,Nordrhein-Westfalen
Arnschwang,93473,Landkreis Cham,Bayern
Arnsdorf,01477,Landkreis Bautzen,Sachsen
Arnshöfen,56244,Westerwaldkreis,Rheinland-Pfalz
Arnstadt,99310,Ilm-Kreis,Thüringen
Arnstein,97450,Landkreis Main-Spessart,Bayern
Arnstein,06456,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
Arnstorf,94424,Landkreis Rottal-Inn,Bayern
Arpsdorf,24634,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Arrach,93474,Landkreis Cham,Bayern
Artern,06556,Kyffhäuserkreis,Thüringen
Artlenburg,21380,Landkreis Lüneburg,Niedersachsen
Arzbach,56337,Rhein-Lahn-Kreis,Rheinland-Pfalz
Arzberg,04886,Landkreis Nordsachsen,Sachsen
Arzberg,95659,Landkreis Wunsiedel im Fichtelgebirge,Bayern
Arzfeld,54687,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
Asbach,53567,Landkreis Neuwied,Rheinland-Pfalz
Asbach,55758,Landkreis Birkenfeld,Rheinland-Pfalz
Asbach-Bäumenheim,86663,Landkreis Donau-Ries,Bayern
Asbach-Sickenberg,37318,Landkreis Eichsfeld,Thüringen
Ascha,94347,Landkreis Straubing-Bogen,Bayern
Aschaffenburg,63739,,Bayern
Aschaffenburg,63741,,Bayern
Aschaffenburg,63743,,Bayern
Aschau am Inn,84544,Landkreis Mühldorf am Inn,Bayern
Aschau im Chiemgau,83229,Landkreis Rosenheim,Bayern
Aschbach,67753,Landkreis Kusel,Rheinland-Pfalz
Ascheberg,59387,Kreis Coesfeld,Nordrhein-Westfalen
Ascheberg,24326,Kreis Plön,Schleswig-Holstein
Ascheffel,24358,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
Aschersleben,06449,Salzlandkreis,Sachsen-Anhalt
Aschheim,85609,Landkreis München,Bayern
Asendorf,21271,Landkreis Harburg,Niedersachsen
Asendorf,27330,Landkreis Diepholz,Niedersachsen
Aspach,71546,Rems-Murr-Kreis,Baden-Württemberg
Asperg,71679,Landkreis Ludwigsburg,Baden-Württemberg
Aspisheim,55459,Landkreis Mainz-Bingen,Rheinland-Pfalz
Assamstadt,97959,Main-Tauber-Kreis,Baden-Württemberg
Asselfingen,89176,Alb-Donau-Kreis,Baden-Württemberg
Aßlar,35614,Lahn-Dill-Kreis,Hessen
Aßling,85617,Landkreis Ebersberg,Bayern
Astert,57627,Westerwaldkreis,Rheinland-Pfalz
Attendorn,57439,Kreis Olpe,Nordrhein-Westfalen
Attenhausen,56370,Rhein-Lahn-Kreis,Rheinland-Pfalz
Attenhofen,84091,Landkreis Kelheim,Bayern
Attenkirchen,85395,Landkreis Freising,Bayern
Attenweiler,88448,Landkreis Biberach,Baden-Württemberg
Atting,94348,Landkreis Straubing-Bogen,Bayern
Atzelgift,57629,Westerwaldkreis,Rheinland-Pfalz
Au,79280,Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg
Au am Rhein,76474,Landkreis Rastatt,Baden-Württemberg
Aub,97239,Landkreis Würzburg,Bayern
Aubstadt,97633,Landkreis Rhön-Grabfeld,Bayern
Auderath,56766,Landkreis Cochem-Zell,Rheinland-Pfalz
Aue-Bad Schlema,08280,Erzgebirgskreis,Sachsen
Aue-Bad Schlema,08301,Erzgebirgskreis,Sachsen
Auel,56357,Rhein-Lahn-Kreis,Rheinland-Pfalz
Auen,55569,Landkreis Bad Kreuznach,Rheinland-Pfalz
Auengrund,98673,Landkreis Hildburghausen,Thüringen
Auenwald,71549,Rems-Murr-Kreis,Baden-Württemberg
Auerbach,09392,Erzgebirgskreis,Sachsen
Auerbach,94530,Landkreis Deggendorf,Bayern
Auerbach in der Oberpfalz,91275,Landkreis Amberg-Sulzbach,Bayern
Auerbach/Vogtland,08209,Vogtlandkreis,Sachsen
Auetal,31749,Landkreis Schaumburg,Niedersachsen
Aufhausen,93089,Landkreis Regensburg,Bayern
Aufseß,91347,Landkreis Bayreuth,Bayern
Auggen,79424,Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg
Augsburg,86150,,Bayern
Augsburg,86152,,Bayern
Augsburg,86153,,Bayern
